#{"t_start": 1619667144.5885434, "env_id": "UWRTArmSim-v0"}
r,l,t
-33488.170673,2400,159.572571
-1466.837378,2400,334.955787
-20163.068472,2400,510.608914
65469.790061,2400,686.682652
11793.31019,2400,861.569449
15883.244906,2400,1036.849349
34428.642224,2400,1211.754668
21153.520103,2400,1387.68515
-31473.663155,2400,1562.592744
-26246.788771,2400,1737.670833
32397.487698,2400,1913.710741
4.908146,2400,2088.603311
-4166.776124,2400,2264.144605
23894.620516,2400,2438.833504
-6013.821243,2400,2613.196385
-5505.830019,2400,2788.607533
-56807.288833,2400,2962.99964
45565.773388,2400,3136.739192
78342.586402,2400,3309.624208
-75162.148412,2400,3482.748973
25299.331277,2400,3656.048546
46017.206012,2400,3829.419903
15799.419839,2400,4003.131392
-89651.216101,2400,4176.823326
15729.751765,2400,4349.725018
58315.660612,2400,4523.235642
-199489.341321,2400,4696.997119
20838.20078,2400,4871.215788
-15174.716707,2400,5044.868279
49811.393794,2400,5218.507324
58048.327141,2400,5391.289186
-16138.593331,2400,5563.801682
32841.791185,2400,5737.511734
-122530.767288,2400,5910.515397
42773.971739,2400,6083.704352
-189210.946139,2400,6257.04047
78696.100849,2400,6429.412372
27036.920509,2400,6602.475509
35939.700708,2400,6775.723722
82865.752293,2400,6948.773934
-113526.263171,2400,7121.912844
63113.669808,2400,7294.796982
-9305.954576,2400,7467.850439
85075.994408,2400,7641.443619
-551150.373745,2400,7815.147731
-130710.652138,2400,7987.971943
60010.404831,2400,8161.903703
-65800.928464,2400,8335.906604
22020.385277,2400,8509.821557
77763.259233,2400,8684.386736
-28491.15711,2400,8858.929702
65205.120096,2400,9033.523777
-6006.5559,2400,9208.371455
12468.111736,2400,9382.724555
-2023.528918,2400,9557.837208
70311.333563,2400,9733.430422
-646001.459044,2400,9908.751812
57662.112721,2400,10083.405282
-123533.507169,2400,10258.849104
24122.254914,2400,10433.326586
-46561.289702,2400,10607.806632
59705.101791,2400,10782.995706
-13084.957843,2400,10958.356773
893.568335,2400,11133.382349
55007.097311,2400,11308.409129
36360.175932,2400,11484.154474
-18991.809212,2400,11658.781238
84472.891998,2400,11833.876764
-97330.277339,2400,12009.215378
23403.934014,2400,12184.340873
-69347.682083,2400,12359.561802
53087.60256,2400,12534.926927
-201366.634008,2400,12710.909989
64290.963783,2400,12885.428837
14358.784781,2400,13059.683271
29040.979667,2400,13235.464087
-172399.899945,2400,13411.036582
40460.67947,2400,13586.072682
-10841.285657,2400,13761.636105
66320.183979,2400,13937.005312
-43870.992308,2400,14112.344352
-114231.080059,2400,14287.530928
36228.941445,2400,14462.908112
-4283.978355,2400,14638.638921
41059.246117,2400,14814.190625
46908.026201,2400,14989.763387
14843.557955,2400,15164.543829
51933.602073,2400,15340.350218
30915.619288,2400,15515.450188
-26549.505242,2400,15691.245888
34772.254732,2400,15867.15607
42472.112492,2400,16042.95398
46181.354679,2400,16218.624602
25936.147533,2400,16393.898792
31473.155707,2400,16569.903646
-27186.269522,2400,16745.250877
-27303.710166,2400,16921.08813
53958.81539,2400,17096.834414
23081.953991,2400,17271.875246
59504.267437,2400,17446.975518
12986.051883,2400,17622.558515
-50930.759701,2400,17798.395649
-43124.819045,2400,17974.475018
32486.417054,2400,18150.673097
-32498.902266,2400,18325.774107
-50188.679332,2400,18501.623131
51723.987077,2400,18676.69729
-130328.354284,2400,18852.077424
76933.954126,2400,19027.456168
-14791.535828,2400,19203.077046
64761.295444,2400,19378.688989
-16556.047892,2400,19553.834971
-509050.244177,2400,19729.456113
43211.270096,2400,19905.384382
-295021.670854,2400,20080.315648
-6013.516846,2400,20255.921149
51343.94666,2400,20431.083298
-13451.026818,2400,20606.442955
-23560.216358,2400,20781.459848
22590.678575,2400,20957.113543
42216.566048,2400,21132.276972
19897.820094,2400,21307.266428
23745.215868,2400,21483.520412
-643.432405,2400,21658.998234
58370.635742,2400,21834.344077
18589.141964,2400,22010.610157
67614.466973,2400,22185.937652
-19011.763092,2400,22361.741464
39090.323352,2400,22537.290096
-332203.398346,2400,22712.713282
49767.062436,2400,22888.426642
23924.381169,2400,23063.79405
-8844.11477,2400,23239.081397
66540.965736,2400,23414.040732
-54793.7519,2400,23589.41112
-17933.566113,2400,23764.806983
19815.995315,2400,23940.432662
81322.704125,2400,24115.828904
-74270.866268,2400,24291.085137
18156.82774,2400,24466.517271
34079.861439,2400,24642.252599
31180.536116,2400,24817.401944
25562.032345,2400,24992.015377
-214481.111446,2400,25167.639194
-215923.867704,2400,25342.579269
47066.99779,2400,25518.796365
-61913.046746,2400,25694.298632
68003.373925,2400,25869.426257
-34483.135621,2400,26044.421665
30482.394306,2400,26219.206786
